chr	pos	NO_20-N4	NO_20-N2	NO_20-N1	HY_5-N1	HY_5-N2	HY_5-N3
KN811576.1	930906	0.63	0.82	0.81	0.82	0.69	0.90
KN811577.1	264558	0.74	0.85	0.67	0.89	0.75	0.76
KN811577.1	264573	0.66	0.50	0.66	0.73	0.46	0.71
KN811577.1	740784	0.88	0.18	0.10	0.60	0.43	0.29
KN811578.1	798637	0.91	1.00	1.00	0.96	0.74	0.96
KN811580.1	34014	0.66	0.82	0.51	0.52	0.44	0.53
KN811580.1	34024	0.74	0.88	0.72	0.60	0.58	0.53
KN811580.1	276267	0.76	0.96	0.92	0.75	0.98	1.00
KN811580.1	276276	0.78	0.96	1.00	0.53	0.14	0.99
KN811580.1	276313	0.83	0.96	1.00	0.57	0.14	1.00
KN811580.1	431669	1.00	1.00	1.00	1.00	0.97	1.00
KN811580.1	431684	1.00	1.00	1.00	1.00	1.00	1.00
KN811582.1	487678	0.63	1.00	1.00	1.00	1.00	0.39
KN811583.1	129552	0.79	1.00	1.00	0.68	0.70	1.00
KN811583.1	811915	0.84	1.00	0.96	0.78	0.88	1.00
KN811586.1	248014	0.88	0.62	0.81	0.92	0.91	0.94
KN811586.1	248019	0.93	0.69	1.00	0.83	0.80	0.89
KN811586.1	248021	0.90	0.85	0.90	0.97	0.89	0.78
KN811586.1	248053	0.82	0.71	0.78	0.88	0.73	0.79
KN811586.1	261581	0.63	0.42	0.24	0.55	0.41	0.62
KN811586.1	261605	0.74	0.64	0.53	0.84	0.77	0.84
KN811589.1	621584	0.94	0.86	0.78	1.00	0.81	0.96
KN811589.1	621590	0.96	0.87	0.70	0.88	0.84	0.92
KN811589.1	621595	0.91	0.80	0.86	0.94	0.76	0.95
KN811589.1	621597	0.96	0.53	0.52	0.94	0.76	0.86
KN811589.1	621629	0.62	0.50	0.52	0.73	0.72	0.93
KN811589.1	753814	0.88	0.12	0.14	0.45	0.33	0.28
KN811590.1	808969	0.96	0.92	0.80	0.60	0.89	0.88
KN811593.1	147013	1.00	0.81	0.50	0.85	0.83	0.79
KN811593.1	147064	0.90	0.95	0.83	0.89	0.92	0.91
KN811593.1	147084	1.00	1.00	0.92	0.95	0.83	0.93
KN811593.1	467342	1.00	1.00	1.00	1.00	1.00	1.00
KN811593.1	615254	0.15	0.50	0.27	0.16	0.77	0.96
KN811594.1	231038	0.87	0.29	1.00	0.56	0.83	0.84
KN811598.1	279381	0.91	0.60	0.50	0.52	0.67	0.89
KN811599.1	105208	0.40	1.00	1.00	1.00	1.00	0.98
KN811599.1	768798	0.53	0.93	0.98	0.85	0.94	0.96
KN811599.1	768819	0.26	0.80	0.96	0.80	0.91	0.89
KN811599.1	768825	0.94	0.85	0.69	0.96	0.89	0.81
KN811599.1	845472	0.78	0.80	0.94	0.74	0.80	0.87
KN811601.1	205359	0.97	1.00	1.00	1.00	1.00	0.65
KN811601.1	209070	0.56	0.84	0.71	0.82	0.89	0.88
KN811601.1	296970	0.96	0.95	0.87	0.69	0.97	0.41
KN811601.1	296976	0.75	0.98	0.87	0.77	0.73	0.93
KN811601.1	319643	0.68	0.50	0.90	0.90	0.78	0.75
KN811601.1	369037	0.98	0.60	1.00	0.81	0.98	0.99
KN811601.1	369163	0.93	0.64	1.00	0.77	0.89	0.72
KN811601.1	369174	0.84	0.60	1.00	0.81	0.29	0.76
KN811601.1	369177	0.96	0.58	1.00	0.47	0.97	0.99
KN811601.1	369200	0.50	0.18	1.00	1.00	0.50	1.00
KN811601.1	471332	0.53	0.96	0.98	0.75	1.00	0.97
KN811601.1	471348	1.00	0.96	0.89	0.91	0.92	0.96
KN811601.1	471482	0.50	0.92	0.98	0.73	1.00	0.95
KN811601.1	471498	1.00	0.93	0.94	0.94	0.75	0.95
KN811601.1	471532	1.00	1.00	1.00	1.00	1.00	1.00
KN811601.1	540604	0.15	0.50	0.33	0.83	0.77	0.92
KN811601.1	572391	0.83	0.60	1.00	0.73	0.97	0.98
KN811601.1	572396	0.89	0.80	1.00	0.83	0.74	0.93
KN811601.1	748276	0.46	0.40	0.58	0.90	1.00	0.83
KN811601.1	939282	0.97	0.75	0.65	1.00	0.86	0.97
KN811601.1	939288	0.97	0.75	0.94	0.67	0.77	0.92
KN811601.1	939293	0.98	0.89	1.00	1.00	0.83	1.00
KN811601.1	939295	0.94	0.70	0.82	0.98	0.71	0.87
KN811601.1	939412	0.91	0.75	0.94	0.93	0.90	0.94
KN811601.1	983813	1.00	0.88	1.00	1.00	1.00	0.73
KN811601.1	983820	0.99	0.92	1.00	1.00	0.96	0.73
KN811601.1	983848	0.95	1.00	1.00	0.98	0.99	0.98
KN811603.1	777377	0.91	1.00	0.88	0.92	0.90	0.90
KN811603.1	777385	0.80	0.90	0.88	0.84	0.85	0.90
KN811603.1	777427	0.95	0.90	0.95	0.91	0.92	0.80
KN811603.1	777434	0.87	0.80	0.81	0.89	0.81	0.92
KN811604.1	99359	0.95	1.00	0.10	0.57	0.77	1.00
KN811604.1	180175	0.31	0.27	0.64	0.84	0.59	0.74
KN811604.1	180275	0.88	0.67	0.85	0.84	0.90	0.81
KN811604.1	270209	0.79	0.82	0.64	0.67	0.65	0.31
KN811604.1	270241	0.70	0.80	0.65	0.58	0.72	0.81
KN811604.1	270243	0.97	0.93	0.99	1.00	1.00	0.76
KN811604.1	270248	0.99	0.93	0.97	0.67	1.00	0.43
KN811604.1	270254	0.94	0.87	0.39	1.00	1.00	0.95
KN811604.1	366711	0.56	0.70	0.88	0.31	0.45	0.84
KN811604.1	628675	0.92	0.95	0.86	0.72	0.88	0.76
KN811604.1	628707	0.53	0.83	0.86	0.75	0.86	0.76
KN811604.1	628716	0.76	0.66	0.96	0.83	0.44	0.95
KN811604.1	628724	0.96	0.36	0.93	0.70	0.88	0.56
KN811604.1	818619	0.90	0.88	0.50	0.80	0.75	0.89
KN811605.1	659084	0.52	1.00	1.00	0.89	0.86	0.97
KN811606.1	783510	0.40	0.17	0.17	0.73	0.60	0.45
KN811607.1	357897	0.90	0.95	0.83	0.89	0.92	0.91
KN811607.1	357917	1.00	1.00	0.92	0.95	0.83	0.93
KN811608.1	257944	0.23	0.83	0.59	0.47	0.46	0.12
