chr	pos	20_20-N4	20_20-N2	20_20-N1	5_5-N1	5_5-N2	5_5-N3
KN811291.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811291.1:1:3134460:1 REF	2898727	0.79	0.85	0.87	0.82	0.68	0.85
KN811291.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811291.1:1:3134460:1 REF	2898732	0.31	0.65	0.87	0.93	0.72	0.65
KN811291.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811291.1:1:3134460:1 REF	2898766	0.61	0.25	0.22	0.68	0.33	0.67
KN811292.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811292.1:1:3161736:1 REF	3155605	0.35	0.56	0.42	0.26	0.22	0.65
KN811292.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811292.1:1:3161736:1 REF	3155637	0.61	1.00	0.45	0.94	0.79	0.91
KN811292.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811292.1:1:3161736:1 REF	3155639	0.59	0.88	0.76	0.92	0.31	0.95
KN811292.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811292.1:1:3161736:1 REF	3155644	0.67	0.87	0.76	0.98	0.73	0.49
KN811292.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811292.1:1:3161736:1 REF	3155650	0.83	0.93	0.82	0.98	0.75	1.00
KN811293.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811293.1:1:2955184:1 REF	2642719	0.29	0.50	0.56	0.20	0.11	0.42
KN811294.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811294.1:1:3154023:1 REF	1097825	0.74	0.65	0.59	0.86	0.62	0.50
KN811294.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811294.1:1:3154023:1 REF	1261427	0.18	0.32	0.41	0.44	0.37	0.42
KN811294.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811294.1:1:3154023:1 REF	1261544	0.88	0.81	0.73	1.00	0.85	0.86
KN811294.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811294.1:1:3154023:1 REF	1261576	0.95	0.77	0.71	0.89	0.92	1.00
KN811294.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811294.1:1:3154023:1 REF	1261578	0.91	0.70	1.00	0.97	0.83	0.88
KN811294.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811294.1:1:3154023:1 REF	1261583	0.96	0.59	0.76	0.73	0.81	0.74
KN811294.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811294.1:1:3154023:1 REF	1307598	0.64	0.69	0.74	0.63	0.84	0.74
KN811294.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811294.1:1:3154023:1 REF	1329181	0.72	0.94	1.00	0.45	0.89	0.67
KN811294.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811294.1:1:3154023:1 REF	2061472	0.73	0.18	0.10	0.54	0.43	0.91
KN811294.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811294.1:1:3154023:1 REF	2065989	0.50	1.00	1.00	0.67	1.00	0.47
KN811294.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811294.1:1:3154023:1 REF	2584221	0.44	0.44	0.27	0.53	0.80	0.93
KN811294.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811294.1:1:3154023:1 REF	2584238	0.39	0.25	0.27	0.42	0.51	0.93
KN811295.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811295.1:1:3017789:1 REF	524341	0.81	0.58	0.80	0.72	0.96	0.73
KN811295.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811295.1:1:3017789:1 REF	524373	0.89	0.94	0.70	0.88	0.71	0.79
KN811295.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811295.1:1:3017789:1 REF	524375	0.93	0.84	0.90	0.81	0.92	0.93
KN811295.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811295.1:1:3017789:1 REF	524380	0.93	0.83	0.90	0.94	0.92	0.86
KN811295.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811295.1:1:3017789:1 REF	1232665	0.46	0.68	0.47	0.55	0.75	0.24
KN811295.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811295.1:1:3017789:1 REF	1608293	1.00	1.00	0.99	1.00	0.96	1.00
KN811295.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811295.1:1:3017789:1 REF	2917013	0.72	0.15	0.65	0.50	0.63	0.32
KN811295.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811295.1:1:3017789:1 REF	2917043	0.89	0.69	0.47	0.50	0.85	0.88
KN811296.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811296.1:1:3135730:1 REF	10240	0.96	0.47	0.71	0.93	1.00	0.62
KN811296.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811296.1:1:3135730:1 REF	172159	0.62	0.69	0.50	0.25	0.85	0.88
KN811296.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811296.1:1:3135730:1 REF	1590342	1.00	1.00	0.93	0.95	0.94	0.85
KN811296.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811296.1:1:3135730:1 REF	1590410	0.97	0.97	0.93	0.93	0.92	0.93
KN811296.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811296.1:1:3135730:1 REF	1590431	0.94	0.93	0.71	0.97	0.87	0.84
KN811296.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811296.1:1:3135730:1 REF	1749495	0.85	0.45	0.80	0.86	0.82	0.30
KN811296.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811296.1:1:3135730:1 REF	1749527	0.94	0.95	0.70	0.94	0.65	0.96
KN811296.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811296.1:1:3135730:1 REF	1749529	0.94	0.19	0.80	0.86	0.82	0.98
KN811296.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811296.1:1:3135730:1 REF	1749534	0.96	0.57	0.80	0.97	0.82	0.98
KN811296.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811296.1:1:3135730:1 REF	1749539	0.94	0.54	0.50	0.94	0.94	0.98
KN811296.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811296.1:1:3135730:1 REF	2499252	0.79	1.00	0.97	0.94	0.83	0.80
KN811296.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811296.1:1:3135730:1 REF	2928654	0.69	1.00	0.71	0.68	1.00	0.88
KN811296.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811296.1:1:3135730:1 REF	2928666	0.80	0.58	0.61	0.93	0.74	0.88
KN811296.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811296.1:1:3135730:1 REF	2928698	0.68	0.45	0.57	0.79	0.60	0.91
KN811296.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811296.1:1:3135730:1 REF	2928700	0.86	0.45	0.65	0.85	0.84	0.89
KN811296.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811296.1:1:3135730:1 REF	2928705	0.89	0.55	0.91	0.72	0.80	0.94
KN811296.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811296.1:1:3135730:1 REF	2928711	0.91	0.60	0.68	0.78	1.00	1.00
KN811298.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811298.1:1:2984365:1 REF	336338	0.63	0.72	0.76	0.69	0.72	0.62
KN811298.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811298.1:1:2984365:1 REF	336369	0.46	0.42	0.36	0.14	0.21	0.49
KN811298.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811298.1:1:2984365:1 REF	872520	0.95	1.00	1.00	0.97	0.99	1.00
KN811298.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811298.1:1:2984365:1 REF	1744169	0.22	0.21	0.15	0.48	0.46	0.70
KN811298.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811298.1:1:2984365:1 REF	1920086	0.21	0.45	0.58	0.83	0.45	0.88
KN811298.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811298.1:1:2984365:1 REF	2012590	0.42	0.30	0.51	0.52	0.25	0.91
KN811298.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811298.1:1:2984365:1 REF	2012600	0.89	0.20	0.72	0.60	0.32	0.91
KN811298.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811298.1:1:2984365:1 REF	2370592	0.87	0.78	0.74	0.87	0.86	0.33
KN811298.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811298.1:1:2984365:1 REF	2370636	0.84	0.32	0.88	0.87	0.94	0.59
KN811298.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811298.1:1:2984365:1 REF	2370638	0.77	0.81	0.59	0.92	0.65	0.91
KN811298.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811298.1:1:2984365:1 REF	2370643	0.90	0.88	0.94	0.88	0.66	0.94
KN811298.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811298.1:1:2984365:1 REF	2370649	0.93	0.79	0.50	0.96	0.88	1.00
KN811298.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811298.1:1:2984365:1 REF	2664960	0.92	0.65	0.95	0.90	0.85	0.55
KN811298.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811298.1:1:2984365:1 REF	2664978	0.95	0.81	0.82	0.76	0.94	0.73
KN811298.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811298.1:1:2984365:1 REF	2664990	0.97	0.72	0.95	0.84	0.98	0.73
KN811299.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811299.1:1:2972310:1 REF	2418889	0.90	0.95	1.00	1.00	0.97	0.98
KN811299.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811299.1:1:2972310:1 REF	2418895	0.90	0.95	1.00	0.47	0.94	0.33
KN811299.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811299.1:1:2972310:1 REF	2418900	0.90	1.00	1.00	0.93	0.83	0.31
KN811299.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811299.1:1:2972310:1 REF	2418902	0.85	0.29	1.00	0.96	0.94	0.29
KN811299.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811299.1:1:2972310:1 REF	2418934	0.90	0.18	0.95	0.96	0.41	0.25
KN811300.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811300.1:1:3014401:1 REF	1033214	0.63	0.56	0.31	0.80	0.53	0.71
KN811300.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811300.1:1:3014401:1 REF	1397050	0.72	0.18	0.92	1.00	1.00	1.00
KN811300.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811300.1:1:3014401:1 REF	1977097	0.94	1.00	0.11	0.95	1.00	0.96
KN811300.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811300.1:1:3014401:1 REF	2136304	0.42	0.62	0.62	0.66	0.71	0.67
KN811301.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811301.1:1:2794200:1 REF	690062	0.73	0.80	0.54	0.70	0.76	0.80
KN811301.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811301.1:1:2794200:1 REF	690079	0.84	0.67	0.57	0.67	0.98	0.57
KN811301.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811301.1:1:2794200:1 REF	690108	0.49	0.79	0.61	0.42	0.53	0.53
KN811301.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811301.1:1:2794200:1 REF	1859836	0.86	0.12	0.24	0.75	0.34	0.17
KN811302.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811302.1:1:2792437:1 REF	529835	0.27	0.11	0.94	0.18	0.52	0.39
KN811302.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811302.1:1:2792437:1 REF	1311081	0.63	0.53	0.54	0.86	0.49	0.21
KN811303.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811303.1:1:2811666:1 REF	273087	0.67	0.75	0.96	0.59	0.72	0.84
KN811303.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811303.1:1:2811666:1 REF	273137	0.85	0.64	0.87	0.64	0.82	0.91
KN811303.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811303.1:1:2811666:1 REF	273169	0.83	0.73	1.00	0.71	0.91	0.89
KN811303.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811303.1:1:2811666:1 REF	273171	0.85	1.00	1.00	0.77	0.97	0.97
KN811303.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811303.1:1:2811666:1 REF	273176	0.96	0.73	0.78	0.91	0.94	0.97
KN811303.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811303.1:1:2811666:1 REF	273182	0.94	1.00	1.00	0.95	1.00	0.98
KN811303.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811303.1:1:2811666:1 REF	364850	0.77	0.77	0.94	1.00	0.92	0.38
KN811304.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811304.1:1:2917921:1 REF	387125	0.97	0.10	0.50	0.79	0.87	0.82
KN811304.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811304.1:1:2917921:1 REF	387146	0.38	0.88	0.13	0.16	0.37	0.42
KN811304.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811304.1:1:2917921:1 REF	750816	0.80	1.00	0.32	0.94	0.92	0.90
KN811304.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811304.1:1:2917921:1 REF	967242	0.48	0.88	0.35	0.51	0.68	0.16
KN811304.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811304.1:1:2917921:1 REF	2656802	0.79	0.90	0.53	0.80	0.85	0.35
KN811304.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811304.1:1:2917921:1 REF	2665101	0.60	0.11	0.79	0.35	0.57	0.79
KN811304.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811304.1:1:2917921:1 REF	2709045	0.86	0.55	0.75	0.93	0.70	0.91
KN811304.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811304.1:1:2917921:1 REF	2786594	0.62	0.75	0.94	0.83	0.81	0.89
KN811304.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811304.1:1:2917921:1 REF	2786644	0.94	0.68	0.88	0.79	0.85	0.98
KN811304.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811304.1:1:2917921:1 REF	2786676	0.94	0.75	1.00	0.72	1.00	0.94
KN811304.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811304.1:1:2917921:1 REF	2786678	0.88	0.71	1.00	0.91	0.94	0.94
KN811304.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811304.1:1:2917921:1 REF	2786683	1.00	0.75	0.75	0.78	0.94	0.96
KN811304.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811304.1:1:2917921:1 REF	2786689	0.88	0.74	0.94	0.77	0.95	0.96
KN811305.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811305.1:1:2892554:1 REF	1928217	0.98	0.20	1.00	1.00	1.00	1.00
KN811305.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811305.1:1:2892554:1 REF	1928227	0.73	0.56	1.00	1.00	1.00	1.00
KN811305.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811305.1:1:2892554:1 REF	2495489	0.48	0.54	0.72	0.59	0.58	0.45
KN811306.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811306.1:1:2811521:1 REF	1958466	0.95	0.85	1.00	0.85	1.00	0.87
KN811306.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811306.1:1:2811521:1 REF	1959094	0.95	0.97	0.67	0.75	0.83	0.86
KN811306.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811306.1:1:2811521:1 REF	2322423	0.90	0.67	0.88	0.77	0.85	0.91
KN811306.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811306.1:1:2811521:1 REF	2322430	0.92	0.93	0.92	0.89	0.84	0.89
KN811306.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811306.1:1:2811521:1 REF	2322472	0.95	1.00	1.00	0.93	0.96	0.98
KN811306.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811306.1:1:2811521:1 REF	2322480	0.99	1.00	0.96	0.91	0.94	1.00
KN811308.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811308.1:1:2800201:1 REF	846435	0.83	0.62	0.44	0.80	0.70	0.84
KN811309.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811309.1:1:2934820:1 REF	230561	0.97	0.91	0.98	0.97	0.97	0.97
KN811310.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811310.1:1:5246820:1 REF	4919291	0.49	0.54	0.72	0.59	0.58	0.45
KN811311.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811311.1:1:2750836:1 REF	1965795	0.86	0.91	0.83	0.89	0.99	0.88
KN811311.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811311.1:1:2750836:1 REF	1965813	0.85	0.52	0.33	0.88	0.70	0.91
KN811312.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811312.1:1:2713415:1 REF	1159385	0.83	0.22	1.00	0.89	0.83	0.77
KN811314.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811314.1:1:2634854:1 REF	1848240	0.93	0.30	1.00	1.00	0.79	1.00
KN811315.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811315.1:1:2686141:1 REF	1153275	0.60	1.00	1.00	1.00	1.00	1.00
KN811315.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811315.1:1:2686141:1 REF	2355066	0.57	0.52	0.66	0.58	0.67	0.47
KN811315.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811315.1:1:2686141:1 REF	2544563	0.78	0.83	1.00	0.89	0.79	0.58
KN811315.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811315.1:1:2686141:1 REF	2544570	0.59	0.83	1.00	0.86	0.79	0.58
KN811315.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811315.1:1:2686141:1 REF	2544583	0.80	0.78	1.00	0.89	0.79	0.75
KN811315.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811315.1:1:2686141:1 REF	2544602	0.52	0.50	1.00	0.64	0.76	0.75
KN811316.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811316.1:1:2579752:1 REF	1800941	0.89	1.00	0.97	0.93	0.83	0.81
KN811316.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811316.1:1:2579752:1 REF	2277971	0.25	1.00	1.00	1.00	0.95	1.00
KN811317.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811317.1:1:2599670:1 REF	2374001	0.90	1.00	0.94	0.98	0.93	0.92
KN811317.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811317.1:1:2599670:1 REF	2374020	0.85	0.90	0.51	0.95	0.96	0.76
KN811318.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811318.1:1:2550323:1 REF	1349073	0.15	0.50	0.21	0.21	0.78	0.96
KN811318.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811318.1:1:2550323:1 REF	2503619	0.55	0.24	0.95	0.50	0.43	0.23
KN811318.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811318.1:1:2550323:1 REF	2503706	0.72	0.38	1.00	0.85	0.77	0.18
KN811319.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811319.1:1:2465323:1 REF	27618	0.85	0.11	0.62	0.80	0.73	0.71
KN811319.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811319.1:1:2465323:1 REF	770652	0.92	1.00	1.00	0.52	0.77	1.00
KN811319.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811319.1:1:2465323:1 REF	2248655	0.97	0.99	0.78	0.91	0.99	0.99
KN811319.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811319.1:1:2465323:1 REF	2248682	0.63	0.64	0.78	0.91	0.96	0.67
KN811319.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811319.1:1:2465323:1 REF	2248690	0.63	0.57	0.94	0.55	0.90	0.64
KN811320.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811320.1:1:2660658:1 REF	1969410	1.00	0.92	1.00	0.32	0.93	0.50
KN811320.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811320.1:1:2660658:1 REF	1969414	0.97	1.00	0.88	0.27	0.95	0.77
KN811320.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811320.1:1:2660658:1 REF	1969422	0.23	0.92	1.00	0.96	0.95	0.53
KN811320.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811320.1:1:2660658:1 REF	1969455	0.29	1.00	1.00	0.96	0.95	0.66
KN811320.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811320.1:1:2660658:1 REF	2512830	0.52	1.00	1.00	0.89	0.91	0.97
KN811321.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811321.1:1:2546084:1 REF	126156	0.19	0.15	0.25	0.17	0.32	0.14
KN811321.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811321.1:1:2546084:1 REF	1297505	0.54	0.93	0.67	0.94	0.90	0.71
KN811321.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811321.1:1:2546084:1 REF	1297525	0.57	0.89	0.75	0.99	0.88	0.79
KN811321.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811321.1:1:2546084:1 REF	1842659	0.97	0.20	0.73	0.85	0.85	0.83
KN811321.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811321.1:1:2546084:1 REF	2333657	0.27	0.18	0.11	0.35	0.43	0.19
KN811322.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811322.1:1:2472794:1 REF	1049361	0.39	0.22	0.10	0.62	0.32	0.70
KN811322.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811322.1:1:2472794:1 REF	1925763	0.92	0.30	1.00	0.90	0.75	1.00
KN811322.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811322.1:1:2472794:1 REF	2230353	0.82	1.00	1.00	0.99	0.93	0.95
KN811322.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811322.1:1:2472794:1 REF	2313781	0.83	0.56	0.17	0.36	0.33	0.41
KN811323.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811323.1:1:2501997:1 REF	151755	0.69	0.30	0.51	0.32	0.44	0.84
KN811323.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811323.1:1:2501997:1 REF	151765	0.74	0.20	0.72	0.36	0.58	0.84
KN811323.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811323.1:1:2501997:1 REF	686196	0.62	0.15	0.93	1.00	0.44	0.32
KN811323.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811323.1:1:2501997:1 REF	686199	0.92	1.00	1.00	0.91	1.00	0.99
KN811323.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811323.1:1:2501997:1 REF	1145562	1.00	1.00	1.00	1.00	1.00	1.00
KN811323.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811323.1:1:2501997:1 REF	1145598	0.22	0.94	0.95	0.89	0.96	0.96
KN811323.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811323.1:1:2501997:1 REF	1145605	0.25	1.00	0.95	0.95	1.00	0.28
KN811323.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811323.1:1:2501997:1 REF	1295102	0.82	1.00	1.00	1.00	0.94	0.89
KN811323.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811323.1:1:2501997:1 REF	1295123	0.80	0.89	0.11	0.85	0.62	0.89
KN811323.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811323.1:1:2501997:1 REF	1295137	0.85	0.89	0.20	0.93	0.63	0.86
KN811323.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811323.1:1:2501997:1 REF	1353568	0.86	0.60	0.50	0.50	0.64	0.90
KN811323.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811323.1:1:2501997:1 REF	2279586	0.20	0.45	0.58	0.83	0.45	0.88
KN811324.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811324.1:1:2500692:1 REF	878563	0.14	0.75	0.88	0.46	0.82	0.85
KN811324.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811324.1:1:2500692:1 REF	1114426	0.54	1.00	0.98	0.99	1.00	0.82
